RU,EN,type,misc
скачок {м},spring [leap],noun,
скачок {м} [прыжок],jump,noun,
скачок {м} [тж. перен.],leap [also fig.],noun,
сквайр {м},squire,noun,[hist.] 
сквалыга {м} [разг.],miser,noun,
сквалыга {м} [разг.],skinflint,noun,
скверный,nasty,adj,
скворец {м},starling,noun,[zool.] [T] 
скейтборд {м} [роликовая доска],skateboard,noun,[sports] 
скелет {м},skeleton,noun,[anat.] [tech.] 
скелет {м} динозавра,dinosaur skeleton,noun,[geol.] [zool.] 
скелет {м} мамонта,mammoth skeleton,noun,[zool.] 
скелетная мускулатура {ж},skeletal muscles {pl},noun,[anat.] 
скепсис {м},scepsis [spv.],noun,
скептик {м},sceptic [esp. Br.],noun,
скептик {м},skeptic [Am.],noun,
скептицизм {м},scepticism [esp. Br.],noun,
скептицизм {м},skepticism [Am.],noun,
скептический,sceptical [esp. Br.],adj,
скептический,skeptical [Am.],adj,
скептичность {ж},scepticism [esp. Br.],noun,
скептичность {ж},skepticism [Am.],noun,
скептичный,sceptical [esp. Br.],adj,
скептичный,skeptical [Am.],adj,
скетч {м},sketch,noun,[theatre] 
скидка {ж},discount,noun,[comm.] 
скидка {ж},rebate,noun,
скидка {ж} [с цены],allowance [discount],noun,[comm.] 
скинхеды {мн},skinheads,noun,[pol.] 
скиснуть [сов.],to go off [Br.] [esp. milk],verb,[gastr.] 
скитание {с},rambling [wandering],noun,
скитаться [несов.] [разг.],to roam,verb,
скифы {мн},Scythians,noun,[hist.] [ethn.] 
склад {м},"repository [storage, depot]",noun,
склад {м},"store [storehouse, stock of sth.]",noun,
склад {м},warehouse,noun,
склад {м} [помещение для хранения товаров],warehouse [storehouse],noun,
склад {м} боеприпасов,magazine [arsenal],noun,[mil.] 
складирование {с},stocking [reserves],noun,
складки {мн} [морщины],wrinkles,noun,
складское помещение {с},warehouse,noun,
складывать [несов.],to add,verb,[math.] 
склеп {м},(burial) vault,noun,[archi.] 
склера {ж},sclera,noun,[anat.] 
склероз {м},sclerosis,noun,[med.] 
склеротин {м},sclerotin,noun,[biochem.] 
склон {м},downhill,noun,
"склон {м} [напр., горы]",slope,noun,
склонение {с} <δ>,declination <δ>,noun,[astron.] 
склонение {с},declension,noun,[ling.] 
склонность {ж},lurch [tendency] [Am.],noun,
склонность {ж},propensity,noun,
"склонность {ж} [к меланхолии, к полноте]",tendency [habit],noun,
склонность {ж} [предрасположенность],predisposition,noun,
"склонность {ж} [симпатия, расположение к чему-л.]",penchant,noun,
склоны {мн},slopes,noun,
скобки {мн} [знаки препинания и математические символы],brackets [punctuation marks and mathematical symbols],noun,
сковорода {ж} [с ручкой],frying pan,noun,[gastr.] 
сковородка {ж} [разг.],frying pan,noun,
скольжение {с},slide,noun,
скользить [несов.],to glide,verb,
скользить [несов.],to slide,verb,
скользить [несов.],to slip,verb,
скользкий [перен.],greasy [fig.],adj,
скользнуть [сов.],to slip,verb,
скользящий график {м},flexitime,noun,
сколько [+gen.],how much,,
скончаться,to die,verb,
скопа {ж} [Pandion haliaetus],osprey,noun,[T] [zool.] 
скопление {с},assemblage [of facts],noun,
скопляться [несов.],to congregate,verb,
скорбеть [несов.],to mourn,verb,
скорбный,lugubrious,adj,
скорбный,mournful,adj,
скорбь {ж},mourning,noun,
скорбь {ж},sorrow,noun,
скорее,rather [by preference],adv,
скорее,sooner,adv,
скорняк {м},furrier,noun,[jobs] 
скоро,soon,adv,
скороварка {ж},pressure cooker,noun,
скороговорка {ж},tongue twister,noun,
скоропортящийся [о продуктах питания],perishable,adj,
скороспелый,precocious,adj,
скорость {ж},pace [speed],noun,
скорость {ж},rate [speed],noun,
скорость {ж},speed,noun,
скорость {ж},velocity,noun,
скорый,rapid,adj,
скрап {м},scrap,noun,[ind.] 
скребница {ж},curry comb,noun,[equest.] 
скрепа {ж},cramp,noun,[tech.] 
скрепка {ж},paper clip,noun,
скреплять [несов.],to clamp [fasten together],verb,
скрининг {м},screening,noun,[med.] [pharm.] 
скриншот {м},screenshot,noun,[comp.] [neol.] 
скрипач {м},violinist,noun,[mus.] 
"скрипеть [несов.] [о двери, колёсах, сапогах и т. п.]","to squeak [of door hinge, wheel, shoe etc.]",verb,
скрипичный ключ {м},treble clef,noun,[mus.] 
скрипичный смычок {м},violin bow,noun,[mus.] 
скрипка {ж},violin,noun,[mus.] 
скрипучий,grating,adj pres-p,
с кровью [мясо; особ. стейк],rare,adj,[gastr.] 
скромность {ж},humility,noun,
скромность {ж},modesty,noun,
скромный,modest,adj,
скрывать [+akk.] [несов.],to conceal,verb,
скрытный,reserved,adj,
скрытный,secretive [of a person],adj,
скрытый,implicit [suggested],adj,
скрытый [незаметный],hidden,adj past-p,
скука {ж},boredom [condition],noun,
скула {ж},cheekbone,noun,[anat.] 
скульптор {м},sculptor,noun,[art] 
скульптура {ж},sculpture [object],noun,[art] 
скунс {м},skunk,noun,[zool.] [T] 
скупердяй {м} [разг.],miser,noun,
скупердяй {м} [разг.],niggard,noun,
скупой,mean [esp. Br.] [miserly],adj,
скупой,mingy [coll.],adj,
скупой,miserly [person],adj,
скупой,penny-pinching,adj,
скупой,stingy [coll.],adj,
скупой,tight [coll.] [miserly],adj,
скутерист {м},scooterist,noun,[traffic] 
скучающий,bored,adj,
скученный [переполненный],packed [overcrowded],adj,
скучный,boring,adj,
скучный [неинтересный],dull [not interesting],adj,
скучный [неинтересный],tedious,adj,
слабо,weakly [without strength],adv,
слабовидящий,visually impaired,adj,[med.] 
слабослышащий,hearing-impaired,adj,[med.] 
"слабости {мн} [склонности, пристрастия]",weaknesses,noun,
слабость {ж},frailty [weakness],noun,
"слабость {ж} [отсутствие сил; склонность, пристрастие]",weakness,noun,
слабость {ж} зрения,asthenopia,noun,[med.] 
слабоумие {с},weak-mindedness [feeble-mindedness],noun,[med.] 
слабоумный {м} [разг.],imbecile [coll.],noun,
слабый,weak,adj,
"слабый [несильный по степени проявления, напр., слабая надежда]",faint,adj,
слава {ж},fame,noun,
слава {ж} [почёт],glory,noun,
слава {ж} [репутация],reputation,noun,
славка-черноголовка {ж} [Sylvia atricapilla],(Eurasian) blackcap,noun,[orn.] [T] 
славяне {мн},Slavs,noun,[ethn.] 
славянизация {ж},Slavicisation [Br.] [also: slavicisation],noun,
славянизация {ж},Slavicization [also: slavicization],noun,
славянизм {м},Slavicism,noun,[ling.] 
славянизм {м},Slavism,noun,[ling.] [ethn.] 
славянин {м},Slav,noun,[ethn.] 
славянка {ж},Slav [female],noun,[ethn.] 
славянский,Slav,adj,
сладкий,sweet,adj,
сладкое {с} [десерт],dessert,noun,[gastr.] 
сладкозвучный,mellifluous,adj,
сладости {мн},sweets,noun,
сладострастие {с},voluptuousness,noun,
сладострастный,voluptuous,adj,
сладость {ж},sweet,noun,
слалом-гигант {м},giant slalom,noun,[sports] 
сланец {м},shale,noun,[geol.] 
сланец {м},slate [material],noun,[geol.] 
сланцевый газ {м},shale gas,noun,[geol.] 
слева,on the left,adv,
след {м},trace,noun,
следить [прослеживать] [несов.],to track,verb,
следить за [+instr.] [несов.],to monitor,verb,
следовательно,consequently,adv,
следовательно,ergo [also hum.],adv,
следовательно,hence,adv,
следовать [несов.],to follow,verb,
следовать чему-л. [несов.],to obey sth.,verb,
"следственный [относящийся к следствию, расследованию]",investigative,adj,[law] 
"следствие {с} [вывод, результат чего-л.]",consequence,noun,
следующая неделя {ж},next week,noun,
слеза {ж},tear [a drop of lacrimal fluid],noun,[biol.] 
слезоточивость {ж},lachrymation,noun,
слезоточивый газ {м},tear gas,noun,
сленг {м},slang,noun,[ling.] 
сленговый,slangy,adj,[ling.] 
слепень {м} [семейство Tabanidae],horsefly,noun,[entom.] [T] 
слепо,blindly,adv,
слепоглухота {ж},deafblindness <DB>,noun,[audio] [med.] 
слепой пул {м},blind pool,noun,[fin.] 
слепота {ж},blindness,noun,
слесарь {м} [специалист по замкам],locksmith,noun,[jobs] 
слеш {м} </>,slash </>,noun,[comp.] 
слива {ж},plum,noun,[bot.] [gastr.] [T] 
сливать [несов.],to drain [vegetables etc.],verb,[gastr.] 
сливки {мн},cream [top part of milk],noun,[gastr.] 
сливки {мн} для кофе,coffee cream {sg},noun,[gastr.] 
сливовый,plum [attr.],adj,[bot.] [gastr.] 
сливовый сок {м},plum juice,noun,[gastr.] 
сливочный соус {м},cream sauce,noun,[gastr.] 
слившийся,merged,adj past-p,
слизень {м},slug [slug-worm],noun,[zool.] [T] 
слизняк {м},slug,noun,[zool.] [T] 
слишком,too [excessively],adv,
"слияние {с} [организаций, компаний]",merger,noun,
словак {м},Slovak,noun,[ethn.] 
словарь {м},dictionary,noun,
словарь {м} синонимов,thesaurus,noun,[acad.] [educ.] 
словацкий,Slovak,adj,
словацкий,Slovakian,adj,
словацкий язык {м},Slovak,noun,[ling.] 
слово-паразит {с},filler [filler word],noun,[ling.] 
слово {с},word,noun,
словоизлияние {с},harangue,noun,
словом,in a word,adv,
словообразование {с},word formation,noun,[ling.] 
словоохотливый,talkative,adj,
словосочетание {с},collocation,noun,[ling.] 
словосочетание {с},word combination,noun,[ling.] 
слог {м} [часть слова],syllable,noun,[ling.] 
слоган {м},slogan,noun,[market.] 
сложение {с},addition,noun,[math.] 
сложности {мн},trouble {sg} [difficulties],noun,
сложный,complex,adj,
сложный [сложно устроенный],sophisticated [complicated],adj,
сложный [трудный],complicated,adj,
слой {м},layer,noun,
сломаться [сов.],to break down [stop working],verb,
слон {м},elephant,noun,[zool.] [T] 
слониха {ж},cow elephant,noun,[zool.] 
слоновая кость {ж},ivory,noun,
слоновник {м},elephant enclosure,noun,[zool.] 
слонята {мн},elephant calves,noun,[zool.] 
слонёнок {м},elephant calf,noun,[zool.] 
слоёное тесто {с},flaky pastry,noun,[gastr.] 
слуга {м},servant,noun,
служанка {ж},maid,noun,[jobs] 
служащий {м},employee,noun,
служба {ж} [тж. церк.],"service [employment, also church service]",noun,
служебный персонал {м},staff,noun,[jobs] 
служить [несов.],to serve,verb,
слух {м},sense of hearing,noun,
слух {м} [молва],hearsay,noun,
слух {м} [сплетня],rumor [Am.],noun,
слух {м} [сплетня],rumour [Br.],noun,
слух {м} [способность слышать],hearing [sense of hearing],noun,
слуховой проход {м},auditory canal,noun,
случай {м},accident,noun,
случай {м},occasion [case],noun,
случай {м},occurrence,noun,
"случай {м} [обстоятельство, ситуация]",case [situation],noun,
случайно,accidentally,adv,
случайно,by chance,adv,
случайно,haphazardly,adv,
случайно встретить кого-л. [сов.],to run into sb.,verb,
случайно встретиться с кем-л. [сов.],to encounter sb.,verb,
случайное отклонение {с},inadvertent deviation,noun,
случайность {ж},accident,noun,
случайный,accidental [chance],adj,
случайный,fortuitous,adj,
случайный [непреднамеренный],unintentional,adj,
случайный [случающийся время от времени],occasional,adj,
случаться [в результате] [несов.],to eventuate [formal: occur as a result],verb,
случаться [несов.],to occur [take place],verb,
случиться [сов.],to occur [to take place],verb,
слушать [несов.],to listen,verb,
слышать [несов.],to hear,verb,
слышимый,audible,adj,
слышный,audible,adj,
слюда {ж},mica,noun,[mineral.] 
слюна {ж},saliva,noun,[biol.] [med.] 
слюнявить [несов.] [разг.],to dribble [allow saliva to run from the mouth],verb,
слюнявчик {м} [разг.],bib [esp. for small children (to keep the clothes clean while eating)],noun,
смазать [сов.] [сделать расплывчатым],to blur,verb,
смазка {ж},lubrication,noun,
смазливый [разг.],pretty,adj,
смазочный шприц {м},grease gun,noun,[automot.] [tech.] 
смазывать [жиром и т.п.] [несов.],to grease,verb,
смайлик {м} [разг.],smiley,noun,[Internet] 
смартфон {м},smart phone,noun,
смегма {ж},smegma,noun,[med.] 
смежный,adjacent,adj,
смело,fearlessly,adv,
смелость {ж} [храбрость],courage,noun,
смелый [отважный],brave,adj,
смена {ж} места жительства,moving house,noun,
сменить место жительства [сов.] [книжн.],to move [to change residence],verb,
сменная работа {ж},shift work,noun,
сменять место жительства [несов.] [книжн.],to move [to change residence],verb,
смертельно больной,terminally ill,adj,
смертельно раненый,fatally wounded,adj,[mil.] [med.] 
смертная казнь {ж},death penalty,noun,
смертность {ж},mortality,noun,
смертный,mortal,adj,
смерть {ж},death,noun,
смерть {ж} от несчастного случая,fatality [fatal accident],noun,
смерч {м} [торнадо],tornado,noun,
смесь {ж},blend,noun,
сметана {ж},sour cream,noun,[gastr.] 
сметь [несов.],to dare,verb,
смех {м},laughter,noun,
смехотворный,laughable,adj,
смехотворный,ridiculous,adj,
смешанный,miscellaneous,adj,
смешанный,mixed,adj past-p,
смешанный лес {м},mixed forest,noun,[for.] 
смешанный лес {м},mixed woodland,noun,[for.] 
смешанный салат {м},mixed salad,noun,
смешать [сов.],to blend,verb,
смешать [сов.],to mix,verb,
смешивать [несов.],to blend,verb,
смешивать [несов.] [перемешивать],to mix,verb,
смешной,amusing,adj,
смещение {с},displacement,noun,
смеяться над кем-л. [несов.],to laugh at sb.,verb,
смеяться над чем-л. [несов.],to laugh at sth.,verb,
смиренный,humble [unassuming],adj,
смирительная рубашка {ж},straightjacket [spv.],noun,
смирительная рубашка {ж},straitjacket,noun,
смог {м},smog,noun,[urban] [meteo.] [ecol.] 
смола {ж},resin [of plant origin],noun,
с мольбой,imploringly,adv,
смородина {ж},currant,noun,[bot.] [gastr.] 
сморщиваться [несов.],to shrink,verb,
сморщить лоб [сов.],to frown,verb,
смотреть [несов.],to look,verb,
"смотреть [несов.] [телевизор, представление, зрелище]",to watch,verb,
смотреть на [+gen.] [несов.],to regard [look at],verb,
смотреть на кого-л./что-л. [несов.],to look at sb./sth.,verb,
смотреть свысока на кого-л. [перен.],to look down on sb. [fig.],verb,
смотреть фактам в глаза / лицо,to face the facts,verb,
смотритель {м} здания,"facility manager [janitor, caretaker]",noun,[jobs] 
смрадный,fetid,adj,
смрадный,stinking,adj,
смутный,nebulous [fig.],adj,
с мутными глазами,bleary-eyed,adj,
смущать [несов.],to distract [perplex],verb,
смущать [несов.] [приводить в замешательство],to embarrass sb.,verb,
смущаться [несов.],to be embarrassed,verb,
смущённая улыбка {ж},sheepish smile,noun,
смущённо,sheepishly,adv,
смущённый,embarrassed,adj,
смыв {м} [воды в унитазе],flushing [washing away],noun,
смысл {м},meaning,noun,
смысл {м},sense,noun,
смягчать / облегчать боль [несов.],to soothe the pain,verb,
смягчать [несов.] [смягчать строгость наказания; облегчать боль],to mitigate,verb,
"смягчающий [напр., вину - об обстоятельствах]",mitigating,adj,[law] 
смятение {с},confusion,noun,
снабжать [несов.],to equip [provide],verb,
снабжать [несов.],to feed [supply],verb,
снабжать [несов.],to provide,verb,
снайпер {м},sniper,noun,[mil.] 
снаряжение {с},equipment,noun,
сначала,at first,adv,
сначала,first,adv,
сначала,initially,adv,
снег {м},snow,noun,
снегирь {м} [Pyrrhula pyrrhula],bullfinch,noun,[zool.] [orn.] [T] 
снеговик {м},snowman,noun,
снегоочиститель {м} [снегоуборочная машина],snowplough [Br.],noun,
снегоуборка {ж},snow removal,noun,
снедаемый [каким-л. чувством],consumed,adj,
снежинка {ж},snowflake [flake of snow],noun,
снежная буря {ж},snowstorm,noun,[meteo.] 
снежноягодник {м} белый [Symphoricarpos albus / racemosus],common snowberry,noun,[bot.] [T] 
снежный,snow [attr.],adj,
снежный ком {м},snowball,noun,
снежный обвал {м},avalanche,noun,
снежный человек {м},Bigfoot,noun,[myth.] 
снежок {м} [ком],snowball,noun,
снежок {м} [уменьш. к Снег],snow,noun,
с незапамятных времён,from / since time immemorial,adv,
с непокрытой головой,bareheaded,adj,
с нетерпением хотеть [сделать что-л.] [несов.],to be anxious to,verb,
снижать [несов.] ценность (чего-л.),to depreciate,verb,
снижаться [несов.],fall [temperature],verb,
снижающийся,declining,adj,
снижение {с} заработной платы,wage cut,noun,
снимать (одежду) [несов.],to take off [clothes],verb,
снимать [квартиру] [несов.],to rent,verb,
снимать [несов.],to take off [to remove],verb,
снимать колоду [несов.],to cut the cards,verb,
снимать с себя одежду [несов.],to take off one's clothes,verb,
снискать что-л. [книжн.] [сов.] [заслужить],to attain sth. [from others],verb,
снисходительный [высокомерный],condescending,adj,
снисходительный [высокомерный],contemptuous,adj,
снисходительный [высокомерный],patronising [Br.],adj,
снисходительный [не строгий],indulgent,adj,
снисходительный [не строгий],lenient [of person],adj,
снобистский,snobbish,adj,
снова,afresh,adv,
снова,again,adv,
снова,anew,adv,
сногсшибательный [разг.],stunning,adj,
сноп {м},sheaf,noun,
снорклинг {м},snorkeling [Am.],noun,
снорклинг {м},snorkelling [Br.],noun,
сноровка {ж},dexterity,noun,
"сносить [несов.] [терпеть, выдерживать]",to endure [suffer patiently],verb,
сносный [разг.],bearable,adj,
сносный [разг.],tolerable,adj,
сноха {ж},daughter-in-law,noun,
снятое молоко {с},skim milk [Am.],noun,[gastr.] 
снять (одежду) [сов.],to take off [clothes],verb,
снять [вниз] [сов.],to take down [remove],verb,
со,to maintain [preserve],verb,
со́пли {мн} [разг.],snot {sg} [coll.] [nasal mucus],noun,
соавтор {м},co-author,noun,
соавтор {м},coauthor,noun,
собака-поводырь {ж},guide dog,noun,
собака {ж},dog,noun,[zool.] [T] 
собачий [относящийся к собаке],dog [attr.],adj,
собачий лай {м},barking of dogs,noun,
собачий холод {м} [разг.],beastly cold [coll.],noun,
собачонка {ж},doggy,noun,[zool.] 
собачья блоха {ж} [Ctenocephalides canis],dog flea,noun,[T] [entom.] 
собачья будка {ж},dog kennel,noun,
собачья жизнь {ж},dog's life,noun,[idiom] 
собачья миска {ж},dog bowl,noun,
собеседование {с},colloquy,noun,[jobs] 
собирание {с} [сведений],survey,noun,
собирать [несов.],to assemble,verb,
собирать [несов.],to gather,verb,
"собирать [несов.] [факты, сведения; по мелочам, обрывкам]",to glean,verb,
собираться [несов.],to congregate,verb,
соблазн {м},temptation,noun,
соблазнительница {ж},temptress,noun,
соблазнительный [заманчивый],tempting,adj,
соблазнённый,tempted,adj past-p,
соблюдать что-л. [несов.],to obey sth.,verb,
соборный,cathedral,adj,
собрание {с} [как государственный или общественный орган],assembly,noun,
собрать [сов.],to assemble,verb,
собственность {ж},property [possessions],noun,
собственный,own,adj,
собственный капитал {м},equity [capital],noun,[econ.] 
собутыльник {м} [разг.] [презр.],drinking companion,noun,
событие {с},event,noun,
событие {с} Кэррингтона,Carrington Event,noun,[astron.] [hist.] 
сова {ж},owl,noun,[zool.] [T] 
совать [разг.] [класть куда-л. небрежно] [несов.],to stick [coll.] [put somewhere in a careless way],verb,
совершать [преступление и т.п.] [несов.],to commit [crime etc.],verb,
совершать государственный переворот,to stage a coup,verb,[pol.] 
совершать побег [из тюрьмы и т.п.] [несов.],to break out [from prison etc.],verb,
совершать побег [несов.],to escape [from prison],verb,
совершать прогулку,to go for a walk,verb,
совершенно,utterly,adv,
совершенно [полностью],fully [completely],adv,
совершенно [превосходно],perfectly,adv,
"совершенно [разг.] [совсем, в полной мере]",quite [completely],adv,
совершенно [совсем],absolutely [completely],adv,
совершенно [совсем],completely,adv,
совершенное число {с},perfect number,noun,[math.] 
совершенно секретный,strictly confidential,adj,
совершенный [абсолютный],absolute,adj,
совершенный [абсолютный],complete,adj,
совершенный [безукоризненный],"perfect [complete, absolute]",adj,
совершенство {с},perfection,noun,
совершенствование {с},improvement,noun,
совершенствование {с},perfection,noun,
совершенствовать [несов.],to perfect,verb,
совершившийся факт {м},fait accompli,noun,
совершить кражу,to commit a theft,verb,
совесть {ж},conscience,noun,
совет {м} [рекомендация],advice,noun,
советник {м},adviser,noun,
советник {м},advisor,noun,
советник {м},consultant [adviser],noun,
советник {м},counsellor [Br.],noun,
советник {м},counselor [Am.],noun,
советовать [несов.],to advise,verb,
советовать [несов.],to give advice,verb,
советовать [предлагать] [несов.],to suggest [propose as desirable],verb,
советовать кому-л. [несов.] [давать совет],to give advice to sb.,verb,
советоваться [несов.],to confer,verb,
советоваться с кем-л. [несов.],to consult sb.,verb,
совещательный,consultative,adj,
совещаться [несов.],to confer,verb,
со вздутым животом,potbellied [from malnutrition],adj,
совладелец {м},joint owner,noun,[law] 
совладелец {м},joint proprietor,noun,[law] 
совладелица {ж},co-owner [female],noun,[comm.] 
совместимость {ж},compatibility,noun,
совместимый,compatible,adj,
совместимый,consistent [agreeing],adj,
совместная покупка {ж},joint purchasing,noun,
совместно,in common,adv,
совместно,jointly,adv,
совпадать [несов.],to coincide,verb,
совпадающий,coincident,adj,
совпадение {с},coincidence,noun,
современник {м},contemporary,noun,
современный,contemporary [present-day],adj,
современный,current [present],adj,
современный [нынешний],modern-day,adj,
современный [соответствующий современным требованиям],up-to-date [attr.] [modern],adj,
со всеми потрохами [разг.] [шутл.],"lock, stock and barrel",,[idiom] 
согласие {с},compliance,noun,
"согласие {с} [взаимопонимание, дружба]",accord [accordance],noun,
"согласие {с} [взаимопонимание, дружба]",accord [harmony],noun,[econ.] 
"согласие {с} [взаимопонимание, дружба]",concord [accordance],noun,
"согласие {с} [взаимопонимание, дружба]",harmony [accord],noun,
согласие {с} [одобрение],agreement [consent],noun,
согласие {с} [одобрение],assent [consent],noun,
согласие {с} [одобрение],consent,noun,
согласно [+gen.],according to,prep,
согласный {м},consonant,noun,[ling.] 
согласованный,agreed,adj past-p,
согласованный,mutual,adj,
соглашаться [несов.],to agree,verb,
соглашаться [несов.] [дать согласие на что-л.],to accept [say yes to],verb,
соглашение {с},agreement,noun,
соглашение {с},arrangement [agreement],noun,
соглашение {с},convention,noun,
соглашение {с} [договор],contract,noun,[law] 
согруппник {м},group mate,noun,
сода {ж},soda,noun,
содействие {с},assistance,noun,
содействие {с},contribution,noun,
содействовать [несов.],to assist,verb,
содействовать [несов.],to facilitate,verb,
содействовать [несов.],"to promote [venture, event]",verb,
содержание {с},content,noun,
содержать (в себе) [несов.],to contain [to include],verb,
содержать [несов.],to keep [possess],verb,
содержать [несов.] [заключать в себе],to comprise,verb,
содержать в исправности [несов.],to maintain [keep a machine in good condition],verb,[tech.] 
содомия {ж} [скотоложство],zoophilia [sexual contact with animals],noun,[psych.] 
содрогаться [несов.],to quake,verb,
содрогаться [несов.],to shudder,verb,
содрогнуться [сов.],to shudder,verb,
соевый соус {м},soy sauce,noun,[gastr.] 
соединение {с},compound,noun,[chem.] 
соединительная ткань {ж},connective tissue <CT>,noun,[anat.] 
соединять [тж. тех. и перен.] [несов.],to connect [also tech. and fig.],verb,
соединять [устанавливать сообщение] [несов.],to link [join],verb,
соединять с кем-л. [по телефону] [несов.],to put through to sb. [on the phone],verb,
сожаление {с} [чувство огорчения],regret,noun,
"сожалеть, что ...",to be sorry (that),verb,
сожалеть [несов.],to be sorry,verb,
сожалеть [несов.],to regret,verb,
сожалеть о чём-л. [несов.],to be sorry for sth.,verb,
сожжение {с},combustion,noun,
созвездие {с},constellation,noun,[astron.] 
создавать [несов.],to create,verb,
создавать впечатление [несов.],to seem likely,verb,
создание {с},creation,noun,
создание {с} [существо],creature,noun,
создать [сов.],to create,verb,
создающий отвращение [к алкоголю и т. п.],aversive,adj,[med.] 
созерцательный [книжн.],contemplative,adj,
созерцать [несов.],to contemplate [to observe intently],verb,
сознаваться в чём-л. [несов.],to admit sth.,verb,
сознание {с} [признание],"confession [of guilt, crime etc.]",noun,
сознание {с} [способность к восприятию],consciousness,noun,
сознательный,conscious,adj,
сознательный [осмысленный],aware [conscious],adj,
соизволить [сов.],to vouchsafe,verb,
соизмеримый,commensurable,adj,
"сойка-пересмешница {ж} [вымышленная птица, обитающая в мире «Голодных игр»]",mockingjay [fictional bird species in the Hunger Games universe],noun,[F] [lit.] [film] 
сок {м},juice,noun,
сокамерник {м},cellmate,noun,
сокол {м},falcon,noun,[orn.] [T] 
соколиная охота {ж},falconry,noun,[hunting] 
сокращать,to scale down,verb,
сокращать [несов.],to reduce,verb,
сокращение {с} [контракция],contraction,noun,
сокращение {с} [сокращённая часть слова],abbreviation,noun,
сокровище {с} [тж. перен.],treasure,noun,
сокурсник {м},fellow student,noun,[educ.] 
солгать кому-л. [сов.],to lie to sb.,verb,
солдат {м},soldier,noun,[mil.] 
солдатка {ж} [разг.] [военнослужащая],soldier [female],noun,[mil.] 
солдатка {ж} [устр.] [жена солдата],soldier's wife,noun,
солидаризация {ж},solidarisation [Br.],noun,
солиситор {м},solicitor [Br.: lawyer],noun,
солить [мясо] [несов.],to corn,verb,[gastr.] 
солить [несов.],to salt,verb,
солнечная аратинга {ж} [Aratinga solstitialis],sun conure,noun,[orn.] [T] 
солнечная атмосфера {ж},solar atmosphere,noun,[astron.] 
солнечная вспышка {ж},solar flare,noun,[astron.] 
солнечная система {ж},solar system,noun,[astron.] 
солнечная энергия {ж},solar energy,noun,[phys.] 
солнечное сплетение {с} [Plexus coeliacus],solar plexus,noun,[anat.] 
солнечные часы {мн},sundial {sg},noun,
"солнечный [день, погода]",sunny,adj,[meteo.] 
"солнечный [энергия, лучи и т. п.]",solar,adj,
солнечный ветер {м},solar wind,noun,[astron.] 
солнечный год {м},solar year,noun,[astron.] 
солнечный день {м},sunny day,noun,[meteo.] 
солнечный коллектор {м},solar (thermal) collector,noun,
солнечный телескоп {м},solar telescope,noun,[astron.] [tech.] 
солнечный удар {м},sunstroke,noun,
солнечный факел {м},facula [on the Sun],noun,[astron.] 
солнце {с},sun,noun,
солнцезащитные очки {мн},sunglasses,noun,
солнцезащитный крем {м},sunblock,noun,
солнцезащитный крем {м},sun creme,noun,
солнцезащитный крем {м},sunscreen,noun,
солнцестояние {с},solstice,noun,[astron.] 
соловей {м},nightingale,noun,[zool.] [T] 
соловьиный сверчок {м} [Locustella luscinioides],Savi's warbler,noun,[T] [orn.] 
соложение {с},malting,noun,[brew] 
солома {ж},straw,noun,
соломенная вдова {ж} [разг.],grass widow [hum.],noun,
соломинка {ж},(drinking) straw,noun,
солонгой {м} [Mustela altaica],Altai weasel,noun,[zool.] [T] 
солоноватый [о воде],brackish,adj,
соль {ж},salt,noun,
сольватация {ж},solvation,noun,[chem.] 
сольволиз {м},solvolysis,noun,[chem.] 
сольное выступление {с},solo performance,noun,
сольный концерт {м},recital,noun,[mus.] 
соляная кислота {ж} [HCl(aq)],hydrochloric acid [E-507],noun,[FoodInd.] [chem.] 
соляная шахта {ж},salt mine,noun,[mining] 
солярий {м},solarium,noun,
солёность {ж} воды,water salinity,noun,[hydro.] [chem.] 
солёный [на вкус],salty,adj,
солёный [о мясе],corned,adj past-p,[gastr.] 
солёный огурец {м},gherkin [pickled in a brine] [esp. Br.],noun,[gastr.] 
сом {м},catfish,noun,[zool.] [T] 
сомалийский,Somalian,adj,
сомнамбулизм {м},somnambulism,noun,[psych.] 
сомнамбулический,somnambulistic,adj,[med.] 
сомневаться [несов.],to doubt,verb,
сомневаться в ком-л./чём-л. [несов.],to doubt sb./sth.,verb,
сомневающийся,dubious [doubtful],adj,
"сомневающийся [колеблющийся, нерешительный]",hesitant,adj,
"сомневающийся [колеблющийся, нерешительный]",hesitating,adj past-p,
сомнение {с},doubt,noun,
сомнения {мн},doubts {pl},noun,
сомнительный,doubtful [questionable],adj,
сон {м} [сновидение],dream [during sleep],noun,
сон {м} [состояние],sleep,noun,
сонаследник {м},joint heir,noun,[law] 
соната {ж},sonata,noun,[mus.] 
сонная болезнь {ж},sleeping sickness,noun,[med.] 
сонный,sleepy,adj,
сонный [не до конца проснувшийся],drowsy,adj,
соня-полчок {ж} [Glis glis],edible dormouse,noun,[zool.] [T] 
соня-полчок {ж} [Glis glis],fat dormouse,noun,[zool.] [T] 
сообщать [несов.] [уведомлять],to report [recount],verb,
сообщать [уведомлять] [несов.],to communicate [share information],verb,
сообщение {c},communication,noun,
сообщение {c},information,noun,
сообщение {c},report,noun,
сообщение {c} [доклад],statement [report],noun,
сообщение {c} [известий и т.п.],"announcement [on radio, in newspaper etc.]",noun,
сообщение {с},message,noun,
сообщество {с},community,noun,
